,Date,compound,neg,neu,pos,Open,High,Low,Close,Volume
2519,2017-03-03,0.9985,0.06,0.847,0.09300000000000001,8883.5,8907.1,8860.1,8897.55,208915878
2520,2017-03-06,0.9913,0.077,0.826,0.096,8915.1,8967.8,8914.0,8963.45,180194586
2521,2017-03-07,0.9995,0.066,0.825,0.109,8977.75,8977.85,8932.8,8946.9,178827506
2522,2017-03-08,0.9951,0.077,0.83,0.09300000000000001,8950.7,8957.05,8891.95,8924.3,183325544
2523,2017-03-09,-0.9356,0.073,0.853,0.07400000000000001,8914.5,8945.8,8899.5,8927.0,176810453
2524,2017-03-10,0.9973,0.057999999999999996,0.855,0.087,8953.7,8975.7,8903.95,8934.55,157419999
2525,2017-03-14,0.9992,0.063,0.8270000000000001,0.11,9091.65,9122.75,9060.5,9087.0,278726933
2526,2017-03-15,0.9988,0.071,0.831,0.098,9086.85,9106.55,9075.5,9084.8,248033251
2527,2017-03-16,0.9987,0.055999999999999994,0.851,0.09300000000000001,9129.65,9158.45,9128.55,9153.7,215096446
2528,2017-03-17,0.9992,0.068,0.8270000000000001,0.105,9207.8,9218.4,9147.6,9160.05,295554265
2529,2017-03-20,0.9996,0.063,0.82,0.11599999999999999,9166.95,9167.6,9116.3,9126.85,342395900
2530,2017-03-21,0.9997,0.054000000000000006,0.835,0.111,9133.95,9147.75,9087.2,9121.5,255396073
2531,2017-03-22,0.9985,0.068,0.8370000000000001,0.096,9047.2,9072.9,9019.3,9030.45,239463699
2532,2017-03-23,0.9996,0.059000000000000004,0.831,0.11,9048.75,9099.05,9048.6,9086.3,197705274
2533,2017-03-24,0.9991,0.08,0.8009999999999999,0.11900000000000001,9104.0,9133.55,9089.4,9108.0,210021581
2534,2017-03-27,0.9888,0.07400000000000001,0.838,0.08800000000000001,9093.45,9094.85,9024.65,9045.2,209036051
2535,2017-03-28,0.9990000000000001,0.069,0.83,0.10099999999999999,9081.5,9110.4,9079.8,9100.8,188985603
2536,2017-03-29,0.9994,0.078,0.8079999999999999,0.114,9128.7,9153.15,9109.1,9143.8,250902906
2537,2017-03-30,0.9992,0.067,0.833,0.099,9142.6,9183.15,9136.35,9173.75,333410368
2538,2017-03-31,0.9988,0.06,0.847,0.09300000000000001,9158.9,9191.7,9152.1,9173.75,196771674
2539,2017-04-03,0.9988,0.075,0.818,0.107,9220.6,9245.35,9192.4,9237.85,143444541
2540,2017-04-05,0.9991,0.063,0.8390000000000001,0.098,9264.4,9273.9,9215.4,9265.15,190529461
2541,2017-04-06,0.9995,0.069,0.82,0.111,9245.8,9267.95,9218.85,9261.95,191937207
2542,2017-04-07,0.9985,0.066,0.833,0.10099999999999999,9223.7,9250.5,9188.1,9198.3,195918747
2543,2017-04-10,0.9994,0.069,0.8190000000000001,0.11199999999999999,9225.6,9225.65,9174.85,9181.45,139968750
2544,2017-04-11,0.9992,0.07,0.8220000000000001,0.10800000000000001,9184.55,9242.7,9172.85,9237.0,206261727
2545,2017-04-12,0.998,0.078,0.8220000000000001,0.1,9242.5,9246.4,9161.8,9203.45,166755013
2546,2017-04-13,0.9996,0.071,0.8109999999999999,0.11800000000000001,9202.5,9202.65,9144.95,9150.8,171695600
2547,2017-04-17,0.9986,0.07200000000000001,0.8270000000000001,0.10099999999999999,9144.75,9160.0,9120.25,9139.3,132244225
2548,2017-04-18,0.9968,0.048,0.878,0.07400000000000001,9163.0,9217.9,9095.45,9105.15,179569574
2549,2017-04-19,0.9996,0.071,0.8079999999999999,0.12,9112.2,9120.5,9075.15,9103.5,179117382
2550,2017-04-20,0.9996,0.06,0.8290000000000001,0.111,9108.1,9143.9,9102.65,9136.4,175629897
2551,2017-04-21,0.9991,0.055999999999999994,0.847,0.09699999999999999,9179.1,9183.65,9088.75,9119.4,159981265
2552,2017-04-24,0.997,0.052000000000000005,0.871,0.077,9135.35,9225.4,9130.55,9217.95,172908048
2553,2017-04-25,0.9994,0.065,0.8270000000000001,0.10800000000000001,9273.05,9309.2,9250.35,9306.6,173896951
2554,2017-04-26,0.9995,0.062,0.833,0.105,9336.2,9367.0,9301.35,9351.85,191395120
2555,2017-04-27,0.9994,0.063,0.836,0.10099999999999999,9359.15,9367.15,9322.65,9342.15,215881711
2556,2017-04-28,0.9990000000000001,0.065,0.833,0.102,9340.95,9342.65,9282.25,9304.05,167229353
2557,2017-05-02,0.9963,0.08,0.823,0.09699999999999999,9339.85,9352.55,9269.9,9313.8,166558241
2558,2017-05-03,0.9995,0.07400000000000001,0.8109999999999999,0.115,9344.7,9346.3,9298.4,9311.95,156342492
2559,2017-05-04,0.9996,0.071,0.812,0.11699999999999999,9360.95,9365.65,9323.25,9359.9,277895923
